"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"NP000444540","KATHMANDU AIRPORT, NP","2000-06-24",,"72","80","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-06-25",,"73","86","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-06-26",,"79","85","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-06-27",,"77","85","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-06-28",,"78","85","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-06-29",,"78","85","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-06-30",,"76","83","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-01",,"75","80","66"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-02",,"75","84","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-03",,"79","84","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-04",,"74","85","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-05",,"81","88","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-06",,"70","75","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-07",,"73","83","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-08",,"76","85","66"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-09",,"76","85","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-10",,"74","85","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-11",,"77","85","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-12",,"78","87","70"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-13",,"75","86","70"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-14",,"78","87","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-15",,"76","85","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-16",,"76","85","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-17",,"76","87","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-18",,"74","84","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-19",,"75","86","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-20",,"77","85","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-21",,"72","78","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-22",,"76","86","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-23",,"77","85","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-24",,"76","82","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-25",,"75","84","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-26",,"73","85","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-27",,"74","85","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-28",,"76","87","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-29","0.43","73","81","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-30","0.00","73","83","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-07-31",,"71","81","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-01",,"69","74","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-02",,"71","79","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-03",,"76","84","66"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-04",,"77","85","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-05",,"76","85","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-06",,"76","85","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-07",,"79","87","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-08",,"74","84","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-09",,"73","84","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-10",,"71","81","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-11",,"74","84","66"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-12",,"73","85","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-13",,"74","82","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-14",,"74","85","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-15",,"75","85","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-16",,"75","85","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-17",,"76","87","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-18",,"77","85","70"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-19",,"78","88","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-20",,"74","87","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-21",,"73","81","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-22",,"74","88","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-23",,"76","87","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-24",,"74","85","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-25",,"73","87","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-26",,"77","88","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-27",,"76","88","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-28",,"73","82","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-29",,"71","86","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-30",,"70","76","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-08-31",,"72","88","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-01",,"71","79","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-02",,"73","81","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-03",,"75","87","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-04",,"74","84","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-05",,"71","80","66"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-06",,"73","86","66"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-07",,,"83","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-08",,,"76","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-09",,,"78","66"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-10",,"70","81","66"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-11",,"73","86","66"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-12",,"76","87","66"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-13",,"78","88","66"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-14",,"72","87","69"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-15",,"73","81","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-16",,"71","80","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-17",,"73","84","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-18",,"71","82","65"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-19",,"70","84","64"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-20",,"69","80","64"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-21",,"72","79","64"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-22",,"71","80","63"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-23",,"72","82","65"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-24",,"70","83","63"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-25",,"69","82","62"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-26",,"67","83","58"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-27",,"72","83","59"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-28",,"70","83","60"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-29",,"68","81","58"
"NP000444540","KATHMANDU AIRPORT, NP","2000-09-30",,"69","82","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-01",,"71","84","55"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-02",,"70","82","62"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-03",,"70","83","61"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-04",,"74","85","64"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-05",,"70","86","61"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-06",,"71","85","61"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-07",,"72","86","63"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-08",,"71","86","63"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-09",,"73","84","59"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-10",,"71","83","60"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-11",,"72","84","60"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-12",,"72","83","59"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-13",,"69","83","58"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-14",,"67","82","56"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-15",,"68","82","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-16",,"70","83","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-17",,"69","85","53"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-18",,"67","82","53"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-19",,"66","82","51"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-20",,"65","81","53"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-21",,"66","79","55"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-22",,"67","81","55"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-23",,"67","81","55"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-24",,"66","79","55"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-25",,"64","79","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-26",,"64","81","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-27",,"68","80","52"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-28",,"65","80","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-29",,"60","74","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-30",,"65","80","51"
"NP000444540","KATHMANDU AIRPORT, NP","2000-10-31",,"66","81","48"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-01",,"67","75","63"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-02",,"60","78","53"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-03",,"64","80","50"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-04",,"62","80","53"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-05",,"61","79","51"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-06",,"62","80","50"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-07",,"64","79","48"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-08",,"63","78","48"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-09",,"61","78","51"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-10",,"62","78","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-11",,"61","76","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-12",,"63","76","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-13",,"64","76","56"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-14",,"60","76","53"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-15",,"60","76","47"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-16",,"62","77","50"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-17",,"59","77","48"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-18",,"61","76","52"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-19",,"60","76","50"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-20",,"60","75","46"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-21",,"58","76","45"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-22",,"55","73","43"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-23",,"57","72","43"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-24",,"52","72","42"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-25",,"58","75","47"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-26",,"58","75","46"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-27",,"59","76","45"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-28",,"54","68","45"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-29",,"54","73","41"
"NP000444540","KATHMANDU AIRPORT, NP","2000-11-30",,"51","75","39"
"NP000444540","KATHMANDU AIRPORT, NP","2000-12-01",,"49","70","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-12-02",,"51","67","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-12-03",,"53","71","35"
